gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
0,"[(1, 275); (2, 1883)]",0.98,-0.13,-0.78,1,0,-0.93,-0.08,2,10,3
-3.4232053919829726,"[(0, 242); (1, 1878); (2, 38)]",0.74,-0.14,-0.99,0.74,-0.51,-0.79,0,1,10,3
0,"[(1, 48); (2, 2110)]",0.9400000000000001,-0.15,-0.96,0.85,-0.37,-0.81,-0.04,3,10,3
0,"[(1, 20); (2, 2138)]",0.97,-0.25,-0.8300000000000001,0.9500000000000001,-0.38,-0.88,-0.08,3,30,10
0.40179780063852427,"[(0, 82); (1, 10); (2, 2066)]",0.77,-0.08,-0.8300000000000001,0.73,-0.07,-0.8300000000000001,0,4,10,3
-0.013924408336276934,"[(0, 1); (1, 131); (2, 2026)]",0.66,-0.17,-0.91,0.62,-0.49,-0.73,-0.05,2,40,13
0,"[(1, 48); (2, 2110)]",0.85,-0.16,-0.6900000000000001,1,-0.93,-0.72,0,4,10,3
-1.034792479602696,"[(0, 102); (1, 721); (2, 1335)]",0.63,-0.27,-0.63,0.7000000000000001,-1,-0.61,-0.1,3,20,6
0.014915927633912736,"[(0, 1); (1, 474); (2, 1683)]",0.9400000000000001,-0.28,-1,0.87,-0.08,-0.6,0,3,10,3
0,"[(2, 2158)]",0.64,-0.28,-0.81,0.9,-0.28,-0.93,-0.02,3,30,10
-1.1158978361120964,"[(0, 98); (1, 1314); (2, 746)]",0.81,-0.3,-0.6,1,0,-0.6,-0.06,4,30,10
0,"[(1, 12); (2, 2146)]",0.68,-0.04,-0.91,0.67,-0.37,-0.87,-0.02,4,20,6
1.028266761262859,"[(0, 154); (1, 8); (2, 1996)]",0.7000000000000001,-0.02,-0.92,0.86,-0.07,-0.88,-0.02,4,30,10
0,"[(2, 2158)]",0.9400000000000001,-0.16,-0.81,0.6,0,-0.76,-0.1,1,30,10
0.8474111387016672,"[(0, 2155); (2, 3)]",0.79,-0.14,-0.75,0.8300000000000001,-0.21,-0.88,-0.03,1,20,6
0.4493423199716211,"[(0, 33); (1, 5); (2, 2120)]",0.85,-0.24,-0.81,0.77,-0.54,-0.75,-0.05,4,10,3
0.7252869811990066,"[(0, 2158)]",0.6,0,-0.64,0.92,-0.05,-0.9400000000000001,-0.09,1,10,3
-2.2262021993614756,"[(0, 438); (1, 408); (2, 1312)]",0.77,-0.12,-0.73,1,-0.9,-0.8,-0.02,2,30,10
-0.24599788060755917,"[(0, 184); (1, 401); (2, 1573)]",0.88,-0.16,-0.75,0.93,-0.75,-0.97,-0.09,4,40,13
0,"[(1, 121); (2, 2037)]",0.78,-0.24,-0.85,0.78,-0.35000000000000003,-0.75,-0.08,1,30,10
0,"[(1, 36); (2, 2122)]",0.8200000000000001,-0.17,-0.78,0.89,-0.24,-0.96,-0.03,2,40,13
-2.3520553387726144,"[(0, 171); (1, 1983); (2, 4)]",0.6,-0.13,-0.87,0.92,-0.61,-1,0,1,30,10
0,"[(2, 2158)]",0.6,0,-1,0.88,0,-0.6,-0.04,1,10,3
0.27967364313586374,"[(0, 1); (1, 122); (2, 2035)]",0.92,-0.15,-0.8,0.63,-0.5,-0.66,-0.01,4,30,10
0,"[(2, 2158)]",0.75,-0.01,-0.78,0.87,-0.2,-0.92,-0.01,4,30,10
0,"[(1, 424); (2, 1734)]",0.6,-0.3,-0.84,0.85,-0.15,-0.85,-0.04,6,20,6
