gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
-0.044365441906653424,"[(0, 7); (1, 13); (2, 8618)]",0.6,-0.29,-0.99,0.72,-0.36,-0.88,-0.07,1,10,3
-0.44405591627835916,"[(0, 868); (1, 134); (2, 7636)]",0.88,-0.23,-0.78,0.79,-0.66,-0.98,-0.04,1,40,13
-1.354250095485448,"[(0, 445); (1, 978); (2, 7215)]",0.9,-0.16,-0.64,0.86,-0.78,-0.65,-0.09,5,10,3
0,"[(1, 135); (2, 8503)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
0,"[(1, 313); (2, 8325)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
0,"[(2, 8638)]",0.72,-0.2,-0.89,0.6,0,-1,0,2,30,10
-0.033123519975555724,"[(0, 4); (1, 3); (2, 8631)]",0.84,-0.25,-0.63,0.6,-0.44,-1,0,1,20,6
-1.5445597738904588,"[(0, 719); (1, 1112); (2, 6807)]",0.75,-0.03,-1,1,-0.21,-0.6,-0.06,1,20,6
-0.0038142235123367198,"[(0, 1); (1, 96); (2, 8541)]",0.6,-0.3,-0.86,0.6900000000000001,-0.25,-0.79,-0.04,2,30,10
-0.051391643113589486,"[(0, 24); (1, 138); (2, 8476)]",0.9400000000000001,0,-0.71,0.8300000000000001,-0.66,-0.65,-0.02,4,10,3
-1.1793980597356961,"[(0, 357); (1, 706); (2, 7575)]",0.72,-0.14,-0.7000000000000001,1,-0.36,-0.87,-0.09,6,10,3
-0.05259613474906424,"[(0, 28); (1, 35); (2, 8575)]",0.86,-0.24,-0.65,0.6900000000000001,-0.66,-0.86,-0.02,7,10,3
-0.2583634558093347,"[(0, 128); (1, 296); (2, 8214)]",0.61,-0.22,-0.71,0.9500000000000001,-0.45,-0.85,-0.07,7,40,13
-0.5926098846535788,"[(0, 186); (1, 287); (2, 8165)]",0.6,-0.29,-0.99,0.72,-0.36,-0.88,-0.07,1,10,3
-0.9148113971430754,"[(0, 568); (1, 689); (2, 7381)]",1,-0.15,-0.85,0.6,-1,-1,-0.1,1,10,3
-0.016862882896646548,"[(0, 11); (1, 15); (2, 8612)]",0.6,-0.13,-0.65,0.75,-0.44,-0.85,-0.04,2,10,3
-0.7670604231915056,"[(0, 223); (1, 665); (2, 7750)]",0.89,-0.3,-0.6,0.76,0,-0.8,-0.06,4,10,3
-0.021078603620808187,"[(0, 4); (1, 67); (2, 8567)]",0.7000000000000001,-0.17,-0.92,0.8300000000000001,-0.36,-0.73,-0.09,5,20,6
-0.008431441448323274,"[(0, 2); (1, 21); (2, 8615)]",0.76,-0.19,-0.8200000000000001,0.79,-0.63,-0.97,-0.07,2,20,6
-0.124664884271637,"[(0, 15); (1, 56); (2, 8567)]",0.7000000000000001,-0.21,-0.79,0.86,-0.14,-0.74,-0.08,2,10,3
0,"[(2, 8638)]",0.89,-0.15,-0.89,0.62,-0.1,-0.89,-0.01,5,30,10
-0.08732564357191963,"[(0, 33); (1, 504); (2, 8101)]",0.72,-0.05,-0.91,0.6,-0.11,-0.98,0,1,20,6
0,"[(1, 14); (2, 8624)]",1,-0.18,-0.9,0.7000000000000001,0,-0.85,-0.06,1,20,6
-0.19291941028187304,"[(0, 79); (1, 308); (2, 8251)]",0.8,-0.15,-0.72,0.87,-0.41000000000000003,-0.67,-0.06,5,10,3
-0.018468871743946222,"[(0, 8); (1, 89); (2, 8541)]",0.86,-0.03,-0.93,0.8300000000000001,-0.28,-0.72,-0.05,4,20,6
-0.20436208081888318,"[(0, 93); (1, 144); (2, 8401)]",0.81,-0.23,-0.96,0.6,-0.76,-1,-0.07,7,10,3
-0.005219463753723932,"[(0, 1); (1, 135); (2, 8502)]",0.6900000000000001,-0.15,-0.92,0.87,-0.48,-0.7000000000000001,-0.07,3,20,6
0,"[(1, 85); (2, 8553)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
-0.38563807195783356,"[(0, 106); (1, 439); (2, 8093)]",0.6900000000000001,-0.11,-0.77,0.86,-0.36,-0.76,-0.08,3,10,3
-0.08571965472461997,"[(0, 13); (1, 67); (2, 8558)]",0.7000000000000001,-0.16,-0.92,0.86,-0.42,-0.74,-0.08,4,10,3
-0.17505278435566418,"[(0, 40); (1, 60); (2, 8538)]",0.6,-0.3,-0.8200000000000001,0.8300000000000001,-0.61,-0.73,-0.08,2,10,3
